date,transactions,oil-price,holiday-type
2013-07-05,77710,103.09,Normal
2013-07-06,92132,103.03,Normal
2013-07-07,87219,103.03,Normal
2013-07-08,77464,103.03,Normal
2013-07-09,73041,103.46,Normal
2013-07-10,73319,106.41,Normal
2013-07-11,68662,104.77,Normal
2013-07-12,73261,105.85,Normal
2013-07-13,88063,106.2,Normal
2013-07-14,81622,106.2,Normal
2013-07-15,76717,106.2,Normal
2013-07-16,75755,105.88,Normal
2013-07-17,73859,106.39,Normal
2013-07-18,69399,107.94,Normal
2013-07-19,73231,108.0,Normal
2013-07-20,87653,106.61,Normal
2013-07-21,80799,106.61,Normal
2013-07-22,75771,106.61,Normal
2013-07-23,73650,107.13,Holiday
2013-07-24,72876,105.41,Additional
2013-07-25,70760,105.47,Holiday
2013-07-26,74270,104.76,Normal
2013-07-27,86632,104.61,Normal
2013-07-28,79729,104.61,Normal
2013-07-29,72911,104.61,Normal
2013-07-30,72512,103.14,Normal
2013-07-31,77813,105.1,Normal
2013-08-01,78740,107.93,Normal
2013-08-02,79127,106.94,Normal
2013-08-03,93926,106.61,Normal
2013-08-04,86805,106.61,Normal
2013-08-05,82080,106.61,Holiday
2013-08-06,77927,105.32,Normal
2013-08-07,77426,104.41,Normal
2013-08-08,72592,103.45,Normal
2013-08-09,77361,106.04,Normal
2013-08-10,85444,106.19,Holiday
2013-08-11,80268,106.19,Normal
2013-08-12,76317,106.19,Normal
2013-08-13,74660,106.78,Normal
2013-08-14,74211,106.89,Normal
2013-08-15,74220,107.43,Holiday
2013-08-16,79668,107.58,Normal
2013-08-17,88888,107.14,Normal
2013-08-18,83247,107.14,Normal
2013-08-19,77100,107.14,Normal
2013-08-20,76629,104.9,Normal
2013-08-21,76613,103.93,Normal
2013-08-22,71220,104.93,Normal
2013-08-23,75844,106.48,Normal
2013-08-24,87502,105.88,Holiday
2013-08-25,82558,105.88,Normal
2013-08-26,76173,105.88,Normal
2013-08-27,73568,109.11,Normal
2013-08-28,74979,110.17,Normal
2013-08-29,71897,108.51,Normal
2013-08-30,77749,107.98,Normal
2013-08-31,96400,108.67,Normal
2013-09-01,95871,108.67,Normal
2013-09-02,84388,108.67,Normal
2013-09-03,79834,108.67,Normal
2013-09-04,80360,107.29,Normal
2013-09-05,74704,108.5,Normal
2013-09-06,74579,110.62,Normal
2013-09-07,95846,109.62,Normal
2013-09-08,94015,109.62,Normal
2013-09-09,77169,109.62,Normal
2013-09-10,72483,107.48,Normal
2013-09-11,74287,107.65,Normal
2013-09-12,68478,108.72,Normal
2013-09-13,73019,108.31,Normal
2013-09-14,92336,106.54,Normal
2013-09-15,90410,106.54,Normal
2013-09-16,77189,106.54,Normal
2013-09-17,72907,105.36,Normal
2013-09-18,72512,108.23,Normal
2013-09-19,67209,106.26,Normal
2013-09-20,74285,104.7,Normal
2013-09-21,91544,103.62,Normal
2013-09-22,87513,103.62,Normal
2013-09-23,75213,103.62,Normal
2013-09-24,70348,103.22,Normal
2013-09-25,71613,102.68,Normal
2013-09-26,66914,103.1,Normal
2013-09-27,72409,102.86,Normal
2013-09-28,91304,102.36,Holiday
2013-09-29,87268,102.36,Normal
2013-09-30,74455,102.36,Normal
2013-10-01,80690,102.09,Normal
2013-10-02,80520,104.15,Normal
2013-10-03,73793,103.29,Normal
2013-10-04,78169,103.83,Normal
2013-10-05,97345,103.07,Normal
2013-10-06,91143,103.07,Normal
2013-10-07,77290,103.07,Holiday
2013-10-08,73728,103.54,Normal
2013-10-09,73206,101.63,Holiday
2013-10-10,71249,103.08,Normal
2013-10-11,80838,102.17,Transfer
2013-10-12,85003,102.46,Normal
2013-10-13,83357,102.46,Normal
2013-10-14,72589,102.46,Normal
2013-10-15,71021,101.15,Normal
2013-10-16,73902,102.34,Normal
2013-10-17,70806,100.72,Normal
2013-10-18,71837,100.87,Normal
2013-10-19,93205,99.28,Normal
2013-10-20,91210,99.28,Normal
2013-10-21,74337,99.28,Normal
2013-10-22,69581,97.63,Normal
2013-10-23,71321,96.9,Normal
2013-10-24,67609,96.65,Normal
2013-10-25,72010,97.4,Normal
2013-10-26,89451,98.74,Normal
2013-10-27,86852,98.74,Normal
2013-10-28,73374,98.74,Normal
2013-10-29,69205,98.29,Normal
2013-10-30,72246,96.81,Normal
2013-10-31,71553,96.29,Normal
2013-11-01,79385,94.56,Normal
2013-11-02,93949,94.58,Holiday
2013-11-03,91085,94.58,Holiday
2013-11-04,79630,94.58,Normal
2013-11-05,76352,93.4,Normal
2013-11-06,76148,94.74,Holiday
2013-11-07,70599,94.25,Holiday
2013-11-08,74646,94.56,Normal
2013-11-09,91367,95.13,Normal
2013-11-10,91689,95.13,Holiday
2013-11-11,75194,95.13,Holiday
2013-11-12,72225,93.12,Holiday
2013-11-13,71600,93.91,Normal
2013-11-14,67268,93.76,Normal
2013-11-15,74804,93.8,Normal
2013-11-16,94069,93.03,Normal
2013-11-17,90357,93.03,Normal
2013-11-18,76133,93.03,Normal
2013-11-19,71496,93.35,Normal
2013-11-20,74998,93.34,Normal
2013-11-21,69198,95.35,Normal
2013-11-22,73466,94.53,Normal
2013-11-23,91187,93.86,Normal
2013-11-24,87771,93.86,Normal
2013-11-25,73966,93.86,Normal
2013-11-26,70690,93.41,Normal
2013-11-27,71571,92.05,Normal
2013-11-28,69896,92.55,Normal
2013-11-29,74816,92.55,Normal
2013-11-30,94311,93.61,Normal
2013-12-01,96910,93.61,Normal
2013-12-02,82768,93.61,Normal
2013-12-03,79820,95.83,Normal
2013-12-04,80529,96.97,Normal
2013-12-05,77466,97.14,Additional
2013-12-06,80763,97.48,Holiday
2013-12-07,95160,97.1,Normal
2013-12-08,92142,97.1,Holiday
2013-12-09,80274,97.1,Normal
2013-12-10,79326,98.32,Normal
2013-12-11,82055,97.25,Normal
2013-12-12,80045,97.21,Normal
2013-12-13,84558,96.27,Normal
2013-12-14,101340,97.18,Normal
2013-12-15,102239,97.18,Normal
2013-12-16,92585,97.18,Normal
2013-12-17,94103,96.99,Normal
2013-12-18,102356,97.59,Normal
2013-12-19,109267,98.4,Normal
2013-12-20,106238,99.11,Normal
2013-12-21,121425,98.62,Additional
2013-12-22,118997,98.62,Additional
2013-12-22,118997,98.62,Holiday
2013-12-23,145876,98.62,Additional
2013-12-24,155846,98.87,Additional
2013-12-26,96002,99.18,Additional
2013-12-27,98330,99.94,Normal
2013-12-28,102858,98.9,Normal
2013-12-29,88729,98.9,Normal
2013-12-30,117645,98.9,Normal
2013-12-31,117214,98.17,Additional
2014-01-01,1327,95.14,Holiday
2014-01-02,90716,95.14,Normal
2014-01-03,84488,93.66,Normal
2014-01-04,101361,93.12,Normal
2014-01-05,93475,93.12,Normal
2014-01-06,77784,93.12,Normal
2014-01-07,75361,93.31,Normal
2014-01-08,77204,91.9,Normal
2014-01-09,72575,91.36,Normal
2014-01-10,75302,92.39,Normal
2014-01-11,94661,91.45,Normal
2014-01-12,89216,91.45,Normal
2014-01-13,75590,91.45,Normal
2014-01-14,71724,92.15,Normal
2014-01-15,74904,93.78,Normal
2014-01-16,73914,93.54,Normal
2014-01-17,75507,93.96,Normal
2014-01-18,92853,94.51,Normal
2014-01-19,88313,94.51,Normal
2014-01-20,74870,94.51,Normal
2014-01-21,74384,94.51,Normal
2014-01-22,72600,96.35,Normal
2014-01-23,69863,97.23,Normal
2014-01-24,74881,96.66,Normal
2014-01-25,89619,95.82,Normal
2014-01-26,86186,95.82,Normal
2014-01-27,73833,95.82,Normal
2014-01-28,71475,97.49,Normal
2014-01-29,70343,97.34,Normal
2014-01-30,69738,98.25,Normal
2014-01-31,79461,97.55,Normal
2014-02-01,100397,96.44,Normal
2014-02-02,91157,96.44,Normal
2014-02-03,82999,96.44,Normal
2014-02-04,78774,97.24,Normal
2014-02-05,79153,97.4,Normal
2014-02-06,75574,97.84,Normal
2014-02-07,78958,99.98,Normal
2014-02-08,92697,100.12,Normal
2014-02-09,83507,100.12,Normal
2014-02-10,78191,100.12,Normal
2014-02-11,75239,99.96,Normal
2014-02-12,79051,100.38,Normal
2014-02-13,82922,100.27,Normal
2014-02-14,92671,100.31,Normal
2014-02-15,93175,102.54,Normal
2014-02-16,88232,102.54,Normal
2014-02-17,76721,102.54,Normal
2014-02-18,73438,102.54,Normal
2014-02-19,73514,103.46,Normal
2014-02-20,71024,103.2,Normal
2014-02-21,75172,102.53,Normal
2014-02-22,93092,103.17,Normal
2014-02-23,80419,103.17,Normal
2014-02-24,77401,103.17,Normal
2014-02-25,72686,102.2,Normal
2014-02-26,74042,102.93,Normal
2014-02-27,73390,102.68,Normal
2014-02-28,84571,102.88,Normal
2014-03-01,102182,105.34,Normal
2014-03-02,79124,105.34,Holiday
2014-03-03,76019,105.34,Holiday
2014-03-04,81818,103.64,Holiday
2014-03-05,84962,101.75,Normal
2014-03-06,81147,101.82,Normal
2014-03-07,80361,102.82,Normal
2014-03-08,94346,101.39,Normal
2014-03-09,92694,101.39,Normal
2014-03-10,77536,101.39,Normal
2014-03-11,75793,100.29,Normal
2014-03-12,75820,98.29,Normal
2014-03-13,72982,98.57,Normal
2014-03-14,77386,99.23,Normal
2014-03-15,91559,98.43,Normal
2014-03-16,93240,98.43,Normal
2014-03-17,80383,98.43,Normal
2014-03-18,75912,100.08,Normal
2014-03-19,76911,100.71,Normal
2014-03-20,74462,99.68,Normal
2014-03-21,78342,99.97,Normal
2014-03-22,93889,100.05,Normal
2014-03-23,89071,100.05,Normal
2014-03-24,74406,100.05,Normal
2014-03-25,74454,99.66,Normal
2014-03-26,74887,100.61,Normal
2014-03-27,71079,101.25,Normal
2014-03-28,78180,101.73,Normal
2014-03-29,95635,101.57,Normal
2014-03-30,88582,101.57,Normal
2014-03-31,82265,101.57,Normal
2014-04-01,84822,99.69,Holiday
2014-04-02,83375,99.6,Normal
2014-04-03,78063,100.29,Normal
2014-04-04,81700,101.16,Normal
2014-04-05,101536,100.43,Normal
2014-04-06,94488,100.43,Normal
2014-04-07,80982,100.43,Normal
2014-04-08,76904,102.57,Normal
2014-04-09,78352,103.55,Normal
2014-04-10,76260,103.37,Normal
2014-04-11,80053,103.68,Normal
2014-04-12,95879,104.05,Holiday
2014-04-13,88770,104.05,Normal
2014-04-14,77753,104.05,Holiday
2014-04-15,76278,103.7,Normal
2014-04-16,81231,103.71,Normal
2014-04-17,84493,104.33,Normal
2014-04-18,81003,104.35,Holiday
2014-04-19,92589,104.35,Normal
2014-04-20,86198,104.35,Normal
2014-04-21,79111,104.35,Holiday
2014-04-22,75889,101.69,Normal
2014-04-23,75358,101.47,Normal
2014-04-24,71753,102.2,Normal
2014-04-25,75347,100.85,Normal
2014-04-26,89576,101.13,Normal
2014-04-27,88583,101.13,Normal
2014-04-28,73482,101.13,Normal
2014-04-29,71015,101.56,Normal
2014-04-30,74823,100.07,Normal
2014-05-01,87240,99.69,Holiday
2014-05-02,80437,100.09,Normal
2014-05-03,98252,99.74,Normal
2014-05-04,93157,99.74,Normal
2014-05-05,77689,99.74,Normal
2014-05-06,75193,99.81,Normal
2014-05-07,77067,101.06,Normal
2014-05-08,73342,100.52,Normal
2014-05-09,81067,100.32,Normal
2014-05-10,108342,100.89,Additional
2014-05-11,90945,100.89,Event
2014-05-12,76000,100.89,Holiday
2014-05-13,73847,102.01,Normal
2014-05-14,73257,102.63,Normal
2014-05-15,70281,101.74,Normal
2014-05-16,75778,102.31,Normal
2014-05-17,91408,102.95,Normal
2014-05-18,93334,102.95,Normal
2014-05-19,75548,102.95,Normal
2014-05-20,73023,102.8,Normal
2014-05-21,73409,104.31,Normal
2014-05-22,68645,104.03,Normal
2014-05-23,71882,105.01,Normal
2014-05-24,90183,104.78,Holiday
2014-05-25,88321,104.78,Normal
2014-05-26,73627,104.78,Normal
2014-05-27,70265,104.78,Normal
2014-05-28,71949,103.37,Normal
2014-05-29,74837,104.26,Normal
2014-05-30,77930,103.4,Normal
2014-05-31,97007,103.07,Normal
2014-06-01,101478,103.07,Normal
2014-06-02,83193,103.07,Normal
2014-06-03,79665,103.34,Normal
2014-06-04,78673,103.27,Normal
2014-06-05,73882,103.17,Normal
2014-06-06,77054,103.32,Normal
2014-06-07,94798,105.09,Normal
2014-06-08,91509,105.09,Normal
2014-06-09,76770,105.09,Normal
2014-06-10,72457,105.02,Normal
2014-06-11,74691,105.04,Normal
2014-06-12,70928,107.2,Event
2014-06-13,79126,107.49,Normal
2014-06-14,106217,107.52,Normal
2014-06-15,81730,107.52,Event
2014-06-16,78357,107.52,Normal
2014-06-17,74593,106.95,Normal
2014-06-18,73547,106.64,Normal
2014-06-19,69533,107.08,Normal
2014-06-20,74637,107.95,Event
2014-06-21,90482,106.83,Normal
2014-06-22,88830,106.83,Normal
2014-06-23,74621,106.83,Holiday
2014-06-24,69887,106.64,Normal
2014-06-25,73770,107.04,Holiday
2014-06-25,73770,107.04,Holiday
2014-06-25,73770,107.04,Holiday
2014-06-25,73770,107.04,Event
2014-06-26,68189,106.49,Normal
2014-06-27,73887,106.46,Normal
2014-06-28,86469,106.07,Event
2014-06-29,83832,106.07,Event
2014-06-30,76339,106.07,Event
2014-07-01,79972,106.06,Event
2014-07-02,83075,105.18,Normal
2014-07-03,77099,104.76,Holiday
2014-07-03,77099,104.76,Holiday
2014-07-04,78171,104.19,Event
2014-07-05,92536,104.19,Event
2014-07-06,90910,104.19,Normal
2014-07-07,79130,104.19,Normal
2014-07-08,74393,104.06,Event
2014-07-09,73421,102.93,Event
2014-07-10,71722,103.61,Normal
2014-07-11,74586,101.48,Normal
2014-07-12,89793,101.73,Event
2014-07-13,79840,101.73,Event
2014-07-14,76320,101.73,Normal
2014-07-15,76497,100.56,Normal
2014-07-16,77335,101.88,Normal
2014-07-17,72365,103.84,Normal
2014-07-18,76812,103.83,Normal
2014-07-19,88541,105.34,Normal
2014-07-20,82660,105.34,Normal
2014-07-21,77658,105.34,Normal
2014-07-22,73749,104.59,Normal
2014-07-23,74346,103.81,Holiday
2014-07-24,72513,102.76,Additional
2014-07-25,78229,105.23,Holiday
2014-07-26,87657,105.68,Normal
2014-07-27,81927,105.68,Normal
2014-07-28,77123,105.68,Normal
2014-07-29,73622,104.91,Normal
2014-07-30,74905,104.29,Normal
2014-07-31,75434,98.23,Normal
2014-08-01,87196,97.86,Normal
2014-08-02,97649,98.26,Normal
2014-08-03,90780,98.26,Normal
2014-08-04,83158,98.26,Normal
2014-08-05,79178,97.34,Holiday
2014-08-06,78787,96.93,Normal
2014-08-07,74620,97.34,Normal
2014-08-08,78698,97.61,Normal
2014-08-09,88010,98.09,Normal
2014-08-10,82185,98.09,Holiday
2014-08-11,78908,98.09,Normal
2014-08-12,73280,97.36,Normal
2014-08-13,76370,97.57,Normal
2014-08-14,73787,95.54,Normal
2014-08-15,81345,97.3,Holiday
2014-08-16,91797,96.44,Normal
2014-08-17,87306,96.44,Normal
2014-08-18,80849,96.44,Normal
2014-08-19,77282,94.35,Normal
2014-08-20,79897,96.4,Normal
2014-08-21,75218,93.97,Normal
2014-08-22,78705,93.61,Normal
2014-08-23,89623,95.39,Normal
2014-08-24,85697,95.39,Holiday
2014-08-25,77287,95.39,Normal
2014-08-26,74029,95.78,Normal
2014-08-27,75594,95.82,Normal
2014-08-28,71897,96.44,Normal
2014-08-29,78280,97.86,Normal
2014-08-30,96128,92.92,Normal
2014-08-31,94032,92.92,Normal
2014-09-01,87941,92.92,Normal
2014-09-02,83895,92.92,Normal
2014-09-03,83264,95.5,Normal
2014-09-04,76357,94.51,Normal
2014-09-05,79393,93.32,Normal
2014-09-06,97051,92.64,Normal
2014-09-07,97206,92.64,Normal
2014-09-08,80954,92.64,Normal
2014-09-09,75647,92.73,Normal
2014-09-10,77110,91.71,Normal
2014-09-11,73413,92.89,Normal
2014-09-12,77324,92.18,Normal
2014-09-13,94599,92.86,Normal
2014-09-14,91685,92.86,Normal
2014-09-15,80209,92.86,Normal
2014-09-16,78628,94.91,Normal
2014-09-17,76934,94.33,Normal
2014-09-18,71000,93.07,Normal
2014-09-19,75575,92.43,Normal
2014-09-20,94175,91.46,Normal
2014-09-21,91092,91.46,Normal
2014-09-22,76335,91.46,Normal
2014-09-23,74715,91.55,Normal
2014-09-24,75802,93.6,Normal
2014-09-25,70769,93.59,Normal
2014-09-26,73141,95.55,Normal
2014-09-27,90831,94.53,Normal
2014-09-28,89876,94.53,Holiday
2014-09-29,76390,94.53,Normal
2014-09-30,77820,91.17,Normal
2014-10-01,84960,90.74,Normal
2014-10-02,79575,91.02,Normal
2014-10-03,84217,89.76,Normal
2014-10-04,99718,90.33,Normal
2014-10-05,94446,90.33,Normal
2014-10-06,80160,90.33,Normal
2014-10-07,78066,88.89,Holiday
2014-10-08,77046,87.29,Normal
2014-10-09,74220,85.76,Holiday
2014-10-10,83961,85.87,Transfer
2014-10-11,91360,85.73,Normal
2014-10-12,86736,85.73,Normal
2014-10-13,76957,85.73,Normal
2014-10-14,73921,81.72,Normal
2014-10-15,77781,81.82,Normal
2014-10-16,73632,82.33,Normal
2014-10-17,75640,82.8,Normal
2014-10-18,94313,82.76,Normal
2014-10-19,92246,82.76,Normal
2014-10-20,78183,82.76,Normal
2014-10-21,73577,83.25,Normal
2014-10-22,73816,80.52,Normal
2014-10-23,71293,82.81,Normal
2014-10-24,73477,81.27,Normal
2014-10-25,92005,81.26,Normal
2014-10-26,90363,81.26,Normal
2014-10-27,74434,81.26,Normal
2014-10-28,72417,81.36,Normal
2014-10-29,74037,82.25,Normal
2014-10-30,71373,81.06,Normal
2014-10-31,79380,80.53,Normal
2014-11-01,96265,78.77,Normal
2014-11-02,78183,78.77,Holiday
2014-11-03,91982,78.77,Holiday
2014-11-04,80319,77.15,Normal
2014-11-05,80883,78.71,Normal
2014-11-06,75527,77.87,Holiday
2014-11-07,77407,78.71,Holiday
2014-11-08,93764,77.43,Normal
2014-11-09,92456,77.43,Normal
2014-11-10,75496,77.43,Holiday
2014-11-11,73496,77.85,Holiday
2014-11-12,75032,77.16,Holiday
2014-11-13,71007,74.13,Normal
2014-11-14,76645,75.91,Normal
2014-11-15,92867,75.64,Normal
2014-11-16,92544,75.64,Normal
2014-11-17,77532,75.64,Normal
2014-11-18,74317,74.55,Normal
2014-11-19,72588,74.55,Normal
2014-11-20,73630,75.63,Normal
2014-11-21,77423,76.52,Normal
2014-11-22,91986,75.74,Normal
2014-11-23,90947,75.74,Normal
2014-11-24,76731,75.74,Normal
2014-11-25,73268,74.04,Normal
2014-11-26,74865,73.7,Normal
2014-11-27,71278,65.94,Normal
2014-11-28,78509,65.94,Event
2014-11-29,96504,68.98,Normal
2014-11-30,96847,68.98,Normal
2014-12-01,86943,68.98,Event
2014-12-02,84903,66.99,Normal
2014-12-03,82957,67.3,Normal
2014-12-04,79357,66.73,Normal
2014-12-05,84023,65.89,Additional
2014-12-06,95549,63.13,Holiday
2014-12-07,97587,63.13,Normal
2014-12-08,86182,63.13,Holiday
2014-12-09,82255,63.74,Normal
2014-12-10,84084,60.99,Normal
2014-12-11,83115,60.01,Normal
2014-12-12,86621,57.81,Normal
2014-12-13,104404,55.96,Normal
2014-12-14,102605,55.96,Normal
2014-12-15,94336,55.96,Normal
2014-12-16,96222,55.97,Normal
2014-12-17,99887,56.43,Normal
2014-12-18,102225,54.18,Normal
2014-12-19,104187,56.91,Normal
2014-12-20,118293,55.25,Work Day
2014-12-21,118694,55.25,Additional
2014-12-22,134574,55.25,Holiday
2014-12-22,134574,55.25,Additional
2014-12-23,144513,56.78,Additional
2014-12-24,156546,55.7,Additional
2014-12-26,108760,54.59,Bridge
2014-12-26,108760,54.59,Additional
2014-12-27,98956,53.46,Normal
2014-12-28,86890,53.46,Normal
2014-12-29,100363,53.46,Normal
2014-12-30,117100,54.14,Normal
2014-12-31,126952,53.45,Additional
2015-01-01,2202,52.72,Holiday
2015-01-02,96809,52.72,Bridge
2015-01-03,96288,50.05,Normal
2015-01-04,94496,50.05,Normal
2015-01-05,88880,50.05,Normal
2015-01-06,82581,47.98,Normal
2015-01-07,83804,48.69,Normal
2015-01-08,77474,48.8,Normal
2015-01-09,79379,48.35,Normal
2015-01-10,92717,46.06,Work Day
2015-01-11,94679,46.06,Normal
2015-01-12,79557,46.06,Normal
2015-01-13,75846,45.92,Normal
2015-01-14,77003,48.49,Normal
2015-01-15,73949,46.37,Normal
2015-01-16,76133,48.49,Normal
2015-01-17,96331,46.79,Normal
2015-01-18,92139,46.79,Normal
2015-01-19,77981,46.79,Normal
2015-01-20,75810,46.79,Normal
2015-01-21,77316,47.85,Normal
2015-01-22,73150,45.93,Normal
2015-01-23,76086,45.26,Normal
2015-01-24,94292,44.8,Normal
2015-01-25,89418,44.8,Normal
2015-01-26,74534,44.8,Normal
2015-01-27,71018,45.84,Normal
2015-01-28,73108,44.08,Normal
2015-01-29,70000,44.12,Normal
2015-01-30,79491,47.79,Normal
2015-01-31,96588,49.25,Normal
2015-02-01,98364,49.25,Normal
2015-02-02,84117,49.25,Normal
